,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CSCO,-0.0030887278739520105,-0.03395867877413655,-0.029424784182103706,0.0,-0.046339085919858775,0.11327857676924911,0.04913820845015049,0.09000056385704361,0.021980639808556655,-0.0010405571849914591
UAL,0.0,0.0004832199276902403,0.0013606581980908502,-0.08960855364636666,-0.01058585281083643,0.10426058210496375,0.05480103958369528,-0.019271501988279007,-0.0044346579284825225,0.0
TROW,0.034091446061460376,0.0,0.02158106038524111,-0.029483850441373805,0.02898387368790599,0.02917036818102589,0.06116642993422062,0.001972107871630777,0.030798462149353625,0.0
ISRG,0.04335058025483998,-0.008574614374754876,-0.014653747369117474,-0.07733664002231747,0.0038794028640355828,-0.0016015774049649998,-0.005704594672656881,0.08678850935699457,0.061377843002246864,0.03382418224147869
TPR,0.0,-0.02533364362656959,-0.021017236833155643,0.0033681846758185814,-0.0,0.13463919211073683,0.04543954816075979,0.028158759172554303,-0.00785565876495327,0.0
DVN,0.0,0.0,0.22666398895470175,0.0,-0.003914052730552809,0.0012728160483919547,0.0026904948227365255,0.00047861260018105774,0.003421280160857721,0.009732690293151505
CE,0.07955093368834627,0.005545490287210876,0.019558494776108597,0.026820618863793347,-0.0,0.08476790902734385,0.0,0.0,-0.001448054211609549,0.0
MRO,0.0,0.0,0.23163144956507575,-0.005040879987208001,-0.0,0.0,0.005377530355585966,0.0,-0.005607631022842229,-0.022041376404674882
BA,0.021696021488106426,0.010521617604589948,0.05387190055646063,0.006187426582440628,-0.02414371355101313,0.017578746042738094,0.022132135668140523,0.021367296905397452,0.05548384695118309,-0.0048327853276783055
VRTX,0.026651412965490524,0.0,0.01122249289779725,-0.03724424518479224,0.027914395419833572,-0.01098662724801517,-0.007218737193242718,0.07136610207710396,0.020741410097700152,0.05242105826129999
GILD,-0.01759817828794039,0.01665971818105222,-0.014100005283359038,-0.1246475872488123,-0.008982706205729383,0.043587023410183064,0.01157011635449425,0.08596691198959326,-0.048892854821895905,0.06172339739717095
TER,9.446053594898384e-05,-0.0031529145373178627,0.00592865718628589,-2.5309848379990917e-05,-0.0,0.023505873365552925,0.0,-0.0037377834604295996,0.16834741349661497,-0.025024981767334486
PODD,0.009711653152483606,0.0,0.0,-0.019978297498495123,-0.0,0.0363600748547699,0.0,0.045464466593448986,0.01662407098323976,0.0020323442709053187
MDT,0.0,0.035312013035380375,-0.01259541044615588,-0.029289408937265924,-0.0,0.06215165146073881,0.0,0.10927767254056443,-0.0,0.013031652305857736
V,0.03458324082216395,0.0,0.0,-0.08780683137071582,-0.018648638585918812,0.010235303202623818,0.07760691114426217,0.08444264093844188,-0.0,-0.007439168620145878
QRVO,-0.008537621358798311,0.0,0.0,0.0,0.004221230844767052,0.020916438699499544,0.0021671338287451987,-0.0012308176968673895,0.15029017438955697,-0.023708983445138148
A,0.04760339396276047,-0.004843028373671129,0.005308282013662747,-0.006007806739224818,0.016551839057438136,0.041647482666678455,0.011794729442434692,0.059100062847326794,0.01964875982048258,0.05610911177529273
FOX,0.0,0.036476419436733194,-0.010457464198327106,0.0,-0.0,0.09840276474238828,0.03315521112153792,0.013163193680003698,-0.0,0.03487400625173976
MO,-0.028211852899830726,0.06832781733751483,-0.015054563644434622,0.001977500751679697,-0.0,0.022794215476901955,0.019728103177732704,0.08507468357698388,0.016445032707077426,-0.06483839969683668
CTRA,0.0,0.004684299224190971,0.20124764648876034,0.0,0.02577807079523351,0.0,0.0,-0.01661082484584641,0.001557026783713104,0.0
SWKS,-0.0031374238768014542,0.0,0.0,0.0,0.004643832256088691,0.029310439902791932,0.0,0.0,0.15879444520742483,-0.014791668953726087
ENPH,0.033630825023059044,0.018903352548350776,0.029714120950605584,0.01955813850020945,-0.0,0.0716066725933852,-0.026674397383130117,-0.04040148857343832,0.0752631204702271,0.007371349620720452
MCHP,0.0,-0.0023558735513613633,0.009411659184525476,0.012730602369214604,-0.0,0.04414737633253081,0.004097545107438186,0.0,0.15854644068702994,0.0
CDNS,0.0011983921053770519,-0.019477487495131295,0.00040075422084026726,-0.08326767731851775,-0.0,0.0,-0.0014003416995980052,0.008878958334510658,0.13877201500077976,0.08032007690698761
MSCI,0.057736880945764665,0.0012465942804907356,0.014232887801257862,0.0,0.02296924957238594,-0.014647752926508306,0.012553197887263825,0.021283791422266905,0.039303347546524973,0.0
CHTR,0.0,0.01306209846248036,0.017410399698079723,-0.03678733215813619,-0.0,0.06132462769585744,0.0,0.02438416698083174,0.003129991726870014,-0.000861426760977584
EIX,0.01636051266279796,0.15739462523434253,0.004381558312943136,-0.0733996572022833,0.0033010225385090635,0.0,-0.0007179013725481467,-0.011867660853757886,-0.005355830102129807,-0.026549447065047645
KDP,-0.029427888039407185,0.06409224309802782,0.020358947444278234,0.0,0.002916179809779115,0.028518434746634427,0.0,0.10218161082481186,0.004958729453366917,0.008735361303500933
BBY,0.010228896024751608,0.0,0.0,-0.162092090420253,-0.022547735404117645,0.070262590084051,0.0,0.0,-0.012649412820598789,-0.07890182402417426
GEN,0.023508736095941004,0.0,0.0,-0.06202398030881194,0.04177518276539328,0.02227661887918066,0.04601884183264479,0.019471471691336527,0.037658518243011356,0.0032748795896150157
WBA,-0.032636824723986824,0.0,0.01600428789798311,0.0003835967654215742,0.03772043902265332,0.08593942251973767,0.0339845207052684,0.012440992435505666,-0.0,0.02800523651743624
