Component,Explained Variance Ratio,Cumulative Explained Variance
PC1,0.20915191039402264,0.20915191039402264
PC2,0.0645101036886329,0.27366201408265556
PC3,0.02693987055407281,0.3006018846367284
PC4,0.024274059833732282,0.32487594447046064
PC5,0.019849433228214218,0.34472537769867484
PC6,0.01751540954887911,0.36224078724755393
PC7,0.014609080909532028,0.37684986815708593
PC8,0.011565210149354561,0.3884150783064405
PC9,0.010727650032040773,0.3991427283384813
PC10,0.00968547816995157,0.4088282065084329
PC11,0.008655342268246439,0.4174835487766793
PC12,0.0077404286573905965,0.4252239774340699
PC13,0.006996730258378085,0.432220707692448
PC14,0.006839118264559505,0.43905982595700754
PC15,0.006184816624918911,0.4452446425819265
PC16,0.00606663812872604,0.4513112807106525
PC17,0.00566762631399701,0.45697890702464955
PC18,0.00561362346016579,0.46259253048481536
PC19,0.005567785793534489,0.46816031627834986
PC20,0.0054337202559561915,0.47359403653430604
PC21,0.0051341292740904225,0.47872816580839644
PC22,0.005025073733671663,0.4837532395420681
PC23,0.004917126457019511,0.48867036599908764
PC24,0.004797431086005387,0.49346779708509303
PC25,0.0046273072394738685,0.4980951043245669
PC26,0.004537644224038802,0.5026327485486057
PC27,0.004366497855587848,0.5069992464041936
PC28,0.004335937442186696,0.5113351838463803
PC29,0.0041720161902980965,0.5155072000366784
PC30,0.004050546942078579,0.519557746978757
PC31,0.0040255395776009105,0.5235832865563579
PC32,0.003951893549947247,0.5275351801063052
PC33,0.003930701459547402,0.5314658815658526
PC34,0.003789866037443792,0.5352557476032964
PC35,0.003743327042104408,0.5389990746454009
PC36,0.0037370813340804588,0.5427361559794813
PC37,0.0035989747145316687,0.546335130694013
PC38,0.0035613838738332002,0.5498965145678462
PC39,0.003492708719238895,0.5533892232870851
PC40,0.003423821301926425,0.5568130445890115
PC41,0.0034032494773152573,0.5602162940663268
PC42,0.003345112353389243,0.563561406419716
PC43,0.003301973920429104,0.566863380340145
PC44,0.0032743887865221825,0.5701377691266672
PC45,0.0032046881912379138,0.5733424573179051
PC46,0.0031779833585193883,0.5765204406764245
PC47,0.003154097102421109,0.5796745377788456
PC48,0.003085212319435758,0.5827597500982813
PC49,0.0030588617989945424,0.5858186118972758
PC50,0.0029781481990815532,0.5887967600963574
PC51,0.0029220032521935307,0.5917187633485509
PC52,0.0028934949075860566,0.594612258256137
PC53,0.002854609254425246,0.5974668675105622
PC54,0.002847199653657176,0.6003140671642194
PC55,0.0028200644761665343,0.603134131640386
PC56,0.0027842547242039667,0.60591838636459
PC57,0.002782400132783476,0.6087007864973735
PC58,0.002701081396283512,0.611401867893657
PC59,0.002678790428328394,0.6140806583219854
PC60,0.0026437351853974213,0.6167243935073828
PC61,0.0026243594867841544,0.619348752994167
PC62,0.0025996819977796098,0.6219484349919466
PC63,0.002566839577975996,0.6245152745699226
PC64,0.002512154358886024,0.6270274289288087
PC65,0.0024998354050471713,0.6295272643338559
PC66,0.002482871481981936,0.6320101358158378
PC67,0.0024650162183858107,0.6344751520342236
PC68,0.0024415034590261936,0.6369166554932497
PC69,0.002422795972342793,0.6393394514655925
PC70,0.0023811075877440205,0.6417205590533365
PC71,0.002374804951232501,0.644095364004569
PC72,0.0023519554758817296,0.6464473194804508
PC73,0.0023292933716097418,0.6487766128520605
PC74,0.0023173559282332282,0.6510939687802937
PC75,0.002293223947602899,0.6533871927278966
PC76,0.0022794263465781357,0.6556666190744748
PC77,0.0022557042248328293,0.6579223232993076
PC78,0.002246897232949077,0.6601692205322567
PC79,0.0022195557323725795,0.6623887762646292
PC80,0.00220133209778839,0.6645901083624176
PC81,0.0021849413181291165,0.6667750496805467
PC82,0.002179571047532434,0.6689546207280791
PC83,0.0021275178916671444,0.6710821386197462
PC84,0.0021080103403251413,0.6731901489600713
PC85,0.0020925259249728215,0.6752826748850441
PC86,0.002077383468935498,0.6773600583539796
PC87,0.002072029732774469,0.679432088086754
PC88,0.002067188239213147,0.6814992763259672
PC89,0.0020464044933821987,0.6835456808193494
PC90,0.0020238822462607,0.6855695630656101
PC91,0.0020137348205978827,0.687583297886208
PC92,0.0019890244924305736,0.6895723223786385
PC93,0.0019732266481835292,0.6915455490268221
PC94,0.001969967336024552,0.6935155163628466
PC95,0.0019495761915544797,0.695465092554401
PC96,0.0019456803823207501,0.6974107729367218
PC97,0.0019265840579224512,0.6993373569946443
PC98,0.0019174706915722137,0.7012548276862165
PC99,0.0019112675882549844,0.7031660952744715
PC100,0.001883806594133682,0.7050499018686052
PC101,0.00187156781836312,0.7069214696869683
PC102,0.0018553455122618566,0.7087768151992302
PC103,0.0018389515302588788,0.7106157667294891
PC104,0.001834922828467006,0.7124506895579561
PC105,0.001829459857313744,0.7142801494152698
PC106,0.0017972737481290208,0.7160774231633988
PC107,0.0017849293170175025,0.7178623524804163
PC108,0.0017736324248334128,0.7196359849052497
PC109,0.0017619264143745453,0.7213979113196243
PC110,0.0017585491597930927,0.7231564604794174
PC111,0.0017486370821115304,0.7249050975615289
PC112,0.00174432683460658,0.7266494243961354
PC113,0.0017142484064085286,0.728363672802544
PC114,0.0017011478257438865,0.7300648206282879
PC115,0.00169546600831305,0.731760286636601
PC116,0.0016815072180853487,0.7334417938546863
PC117,0.0016723331713304236,0.7351141270260168
PC118,0.0016611708838762886,0.736775297909893
PC119,0.0016520549519178683,0.7384273528618109
PC120,0.0016509418910027605,0.7400782947528137
PC121,0.0016371915236313658,0.7417154862764451
PC122,0.0016148147357413491,0.7433303010121864
PC123,0.0016113259567944245,0.7449416269689809
PC124,0.0015992505412388434,0.7465408775102198
PC125,0.0015847569339986463,0.7481256344442184
PC126,0.0015795142534231305,0.7497051486976416
PC127,0.001575658675201815,0.7512808073728434
PC128,0.0015688155689805765,0.752849622941824
PC129,0.0015626858888634092,0.7544123088306874
PC130,0.0015536881449993217,0.7559659969756868
PC131,0.0015412439527042964,0.7575072409283911
PC132,0.0015236365085813156,0.7590308774369724
PC133,0.0015215133911072557,0.7605523908280797
PC134,0.0015099028427106374,0.7620622936707904
PC135,0.001481366418822915,0.7635436600896133
PC136,0.001476733684887875,0.7650203937745012
PC137,0.0014740073467502872,0.7664944011212514
PC138,0.0014672714871407965,0.7679616726083922
PC139,0.0014655094388062245,0.7694271820471984
PC140,0.0014517425200693485,0.7708789245672677
PC141,0.0014335046770545465,0.7723124292443222
PC142,0.0014293873801292062,0.7737418166244514
PC143,0.001425959012862825,0.7751677756373142
PC144,0.001417903865010427,0.7765856795023246
PC145,0.0014040859750063428,0.7779897654773309
PC146,0.0013958490450760768,0.779385614522407
PC147,0.0013870750353612107,0.7807726895577681
PC148,0.0013795931484529259,0.7821522827062211
PC149,0.0013758023869267022,0.7835280850931478
PC150,0.001367502174554316,0.784895587267702
PC151,0.0013650154039142645,0.7862606026716163
PC152,0.0013570463811275518,0.7876176490527439
PC153,0.0013506893802901977,0.788968338433034
PC154,0.0013378158341027394,0.7903061542671368
PC155,0.0013286896988150133,0.7916348439659519
PC156,0.0013233364204667758,0.7929581803864186
PC157,0.0013167046250940147,0.7942748850115127
PC158,0.0013072711014810346,0.7955821561129937
PC159,0.0013014052108159524,0.7968835613238096
PC160,0.0012900301621191954,0.7981735914859287
PC161,0.001281902584449668,0.7994554940703784
PC162,0.0012769731191584143,0.8007324671895368
PC163,0.0012720833261518005,0.8020045505156886
PC164,0.001265950325971936,0.8032705008416606
PC165,0.001253959607248748,0.8045244604489094
PC166,0.0012509363129855986,0.8057753967618949
PC167,0.0012471280048652685,0.8070225247667602
PC168,0.0012389529592253712,0.8082614777259856
PC169,0.0012367525877796486,0.8094982303137652
PC170,0.0012286026322542414,0.8107268329460194
PC171,0.0012153833797465309,0.811942216325766
PC172,0.001207917040533805,0.8131501333662998
PC173,0.0012036373917355529,0.8143537707580354
PC174,0.001196464966068452,0.8155502357241038
PC175,0.0011922119792366795,0.8167424477033405
PC176,0.001187238025182075,0.8179296857285225
PC177,0.0011851430878939888,0.8191148288164165
PC178,0.0011759302727072838,0.8202907590891237
PC179,0.0011655893230780145,0.8214563484122017
PC180,0.001162520941175373,0.8226188693533771
PC181,0.001150369401183048,0.8237692387545602
PC182,0.0011448830828262476,0.8249141218373864
PC183,0.0011380593636428548,0.8260521812010293
PC184,0.0011250419597291865,0.8271772231607585
PC185,0.0011187203548643511,0.8282959435156229
PC186,0.0011142007996234008,0.8294101443152463
PC187,0.0011056855966894237,0.8305158299119357
PC188,0.001104222024877143,0.8316200519368129
PC189,0.0011005857215836776,0.8327206376583965
PC190,0.0010859905719881483,0.8338066282303846
PC191,0.0010845626861499071,0.8348911909165345
PC192,0.0010832660073705862,0.8359744569239052
PC193,0.0010712184195551357,0.8370456753434603
PC194,0.0010651173877372947,0.8381107927311976
PC195,0.0010639800605946983,0.8391747727917923
PC196,0.0010625206734590678,0.8402372934652513
PC197,0.0010520474704064616,0.8412893409356578
