,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CSCO,0.04894899881436391,-0.02612584963659954,0.0026311228116852508,0.12801684797647203,-0.020514297146073363,0.10239740427100216,0.06115443606441791,0.022757834540002,-0.027382415039932835,0.026618002280545682
UAL,0.05472087192792674,-0.021579394786867323,0.034197295954364944,0.015685951930110992,-0.03081921550719157,0.04853460557345883,0.07486769609505432,-0.049363128471846505,0.09464766064281965,-0.002212070698852906
TROW,0.05891225357281149,-0.014596254411275655,0.0031384675147716826,-0.006019702584511899,-0.014491913761636804,-0.025831633167308576,0.022013209741582246,0.018521029185744463,-0.0003756191591455793,-0.023376356327780082
ISRG,0.0447646833056176,-0.022784631718126502,-0.08823306660924543,0.03984348036952204,0.06782175321384198,-0.010525944554774791,-0.033267767975561816,0.04764585328264239,0.028739415375743385,-0.004463269080944424
TPR,0.05082825790433321,-0.01658336928528964,0.03195351462455744,0.07945442566180838,-0.07455627758708927,0.10119217049739561,0.02474229350787259,-0.011012479162189504,0.005745228699430165,-0.009938969829087388
DVN,0.0530944365612971,0.0030325107641792585,0.1616411507807193,-0.05815804328933183,0.10972030064960475,-0.03419072495053943,-0.0190706041602432,0.06013302211306245,-0.00968156697007598,0.027519243618069497
CE,0.053754134983455354,-0.006151861145283885,0.0366668675354595,0.021570606104396428,-0.013542701606852878,0.02277774553929096,-0.04169163149858363,-0.08862996057620035,-0.03477221143398107,0.005206600081509187
MRO,0.05129965718053362,0.012813847580427024,0.16841769883922064,-0.06413041503723378,0.11460306114656843,-0.0479988606403206,-0.00012502345988846253,0.04841243020561101,-0.010795862863469965,-0.004975179874905089
BA,0.0428935300801872,-0.019965934886789705,0.024713554769487944,0.00032869584526878937,0.049599559488292144,-0.0023013502270459174,0.030149904253054027,0.009019128389089082,-0.050683328703567565,0.019719182313909844
VRTX,0.03263137608550784,0.009802458576792414,-0.043623858525945275,0.012738422397859807,0.050696072818198046,-0.013791591370800438,-0.0605685423173456,0.061691624387319594,0.029130483544769492,-0.007879658267717658
GILD,0.029003928944192427,0.045489453761829564,-0.025712014753897155,0.06933183619465004,0.028892311030842666,0.0635761819164995,0.025221878420413124,0.03351820307414881,0.15928649983860577,-0.004135894574454513
TER,0.04528168542899531,-0.09969595617614169,-0.04636041437464549,-0.04806888289251049,0.03527412239369643,0.027206027753161,0.042971304320939846,0.016985551406801136,-0.08163959375001206,0.0012958394918655136
PODD,0.02913274230003056,-0.003465452875602112,-0.018241980708398095,0.03314026554064991,0.020059482826126407,0.037117325517789984,0.003149019895343441,0.0012980441078738782,0.005378104337098937,0.0036610241508945596
MDT,0.04287193518280169,0.043110598351224355,-0.03584070713947793,0.05868873892631262,0.024224147193606715,0.0907851751710288,0.00811232868806111,0.01869451035206629,0.029558963883161482,-0.019705727364286524
V,0.05517267618689851,0.019423757827737354,-0.027611162655447993,0.08130612020132565,0.034746195436833945,-0.032162658474058636,0.06907003669746281,0.00894697201806427,0.04532254023896176,0.0037498483703743563
QRVO,0.03843187773199356,-0.08363692399311777,-0.04482920179404205,-0.05287203381085167,0.01640506370704963,0.0363937293234988,0.052917911037784954,0.03711636950245417,-0.07565016649850465,-0.007618676860682738
A,0.052976897679966786,-0.0028011420432731706,-0.0164973834798657,0.039255202009022,0.004560307735645103,0.013926931819772585,-0.05122138911514529,0.030578285132970007,0.009077394873846317,0.006812378679559861
FOX,0.0474096214385953,0.015447101356043968,0.011076888615132813,0.023626864813877005,-0.05015348790892813,0.08343069489988574,0.01638167681997164,-0.02905488963587577,0.021560440662199976,0.022230797233221744
MO,0.023125628631112616,0.05735676250520351,-0.03999404425110965,0.016013769553919283,0.01791077495587639,0.07119544812664172,0.08498931764430073,0.014497159065862741,-0.05512237184823132,-0.015027319741144518
CTRA,0.04846403435433305,0.0064597913333147225,0.13787068538145886,-0.09713684290536721,0.08227826647648556,-0.026548533887548496,-0.029007865546776368,0.039933527455195295,-0.004228207904902359,0.0013631454591640363
SWKS,0.04512066056543965,-0.08961723295938323,-0.04920222458103938,-0.0469589980810661,0.02310304761490888,0.04355084533848279,0.04201289286370125,0.0412130871390296,-0.0698497397149434,-0.018327781707303092
ENPH,0.04451373241592697,-0.05383083250976873,0.014232208930294594,-0.05836587093153383,0.009217298763284119,0.05283729959170782,-0.025059023581902,-0.06445113539559566,-0.04890081357770579,0.06527636001265791
MCHP,0.05188365895283644,-0.09347527728346752,-0.031050335484152924,-0.03700957571284667,0.0154207839733439,0.046498779860181964,0.0265734122309542,0.029678591926143374,-0.08240067026816464,0.016299345225892714
CDNS,0.04417100812074762,-0.09408478486451805,-0.0715062749144585,-0.030532406565478516,0.051334339495054115,0.003488467515376827,-0.009906798598563981,0.07721838487636284,0.03528105894757831,0.04460174876325257
MSCI,0.03654373283506566,-0.007654916500061062,-0.029210883276916545,-0.010819577317245635,0.025984213267094842,-0.05540356764880841,-0.01909336661016391,0.014418069240915526,-0.044456713383691546,0.0072158243931532695
CHTR,0.03516329274339118,0.0017336037235835301,0.01050116927426955,0.0053631359061777064,0.031162033957532437,0.06226772907199161,0.010306174546954197,-0.014933267420737063,0.019560175083847362,-0.014993006047767987
EIX,0.029518819528529285,0.08446924051543922,-0.03896484526565722,-0.08831811843604719,0.04735630693916512,0.0009742589738087801,0.04052317882557813,-0.09396006232761901,0.04775283522093692,-0.026310127822123504
KDP,0.03104295074845502,0.06344156370900707,-0.01370898497098054,0.010035429879352171,0.04692805040151698,0.0844172996533132,0.0184547414851067,0.05677294326519481,-0.0167073665933836,0.016347486917311818
BBY,0.03517132306914231,-0.019528014514329402,-0.005284406141733485,0.02369944676697523,0.0475852434566225,0.03574537975480544,0.058878895210950376,-0.09387097563096862,0.10327968704209017,-0.1373345095606407
GEN,0.05524605874061233,-0.013764068616148562,-0.03272897458599747,-0.006114800987117348,-0.008510942412883617,-0.014141069219618291,0.017657615388093538,0.030722203021284696,0.023903110486991036,-0.020788042217969725
WBA,0.04178223826414656,0.0038905888087279834,0.03953820333925837,0.00033445989721629063,-0.05774594263412821,0.08312904147292924,0.00353605284450813,0.05303145732998185,0.015762969910182726,-0.030227287327541093
LVS,0.04257271602771771,-0.02490864813885175,0.004200169809277724,0.014016307375840531,0.029679730278026555,0.06377033796185924,0.010508874916344804,0.01923382136138409,0.043173948652280844,-0.07571219362936711
HCA,0.04035202491384124,0.009803105111190305,-0.03862011916943986,0.01766972379375025,0.04280611771554784,-0.05133103302086975,-0.074897795800358,-0.01125495381362312,0.013077351309157681,0.05266248350748792
AJG,0.029302582713113475,0.044769265441614685,-0.022604006431018356,0.05380382016140776,0.011626038681822071,-0.08596701937314692,0.00843037026188553,-0.004877330087693316,-0.041601727801997807,-0.009608522897800405
DTE,0.025347208655602572,0.09215324007826117,-0.0485101258596722,-0.05792751197071299,0.010635043739370385,0.022066811040860546,0.004285167329391778,-0.07010552748380303,-0.013608134673948393,0.01534900410279401
C,0.06729626191767198,-0.011564552844085186,0.0433585017787678,0.0035131762518988206,-0.07472719525607463,-0.036048515471518675,0.10433806755677645,0.062427076569066556,0.013944692298352932,0.01517611637911575
T,0.014879288773377023,0.07742401456056729,-0.012830373922893388,-0.005803235189912693,0.0009569696677284599,-0.01579408336497013,0.0022435550053703235,0.0006954231291720651,0.01651168108280681,0.044363187278960575
CF,0.049533705704780266,-0.0010616885209631724,0.08120340490021187,-0.04957042299732443,0.011859021388520066,0.02267530635898828,-0.012496203284002602,-0.051481604074271964,0.01825526609319364,-0.011493864490421
MGM,0.06073868900400892,-0.030110295875489662,0.0413977627780106,-0.017139759344820003,-0.007899497934998655,0.05237217293333465,0.03995366317860038,0.017380237157169392,-0.014201633994013712,-0.039428446998192736
HUM,0.016452933782387363,0.0403981079945918,-0.010315798516476442,0.03156155436960054,-0.04708201219230249,0.056225102132254,-0.04433815720840498,0.10997860419225028,0.06483914093633844,-0.059472974017564684
CBOE,0.0127463400557087,0.03381219763663779,0.0007332581866956521,0.025395034112306716,0.014969299819682067,-0.010352445358671625,-0.010794253025868734,0.0003004207206060517,0.01293781208513805,0.0184208481851841
CFG,0.06857208092893641,-0.0017790219035809793,0.042266231131032776,0.010897134960522562,-0.1325548435442475,-0.040793261850617824,0.06977588494994555,0.037298550385890916,0.020898450744109814,0.024647108970681397
APH,0.046769663764859706,-0.08071804726588226,-0.034049629437294525,-0.05341331596145971,0.000808012120210471,-0.02298045827083041,-0.048492284839168134,0.04363470244123468,0.06958896013100917,0.15791055941237156
SYY,0.04032059144285046,0.05410813190040224,-0.0008106366303591221,0.019832200851605947,0.010892154173758018,0.03178791901756916,-0.027005146526833324,0.014901574026457389,-0.0015078463790439132,-0.013470812458325378
MSI,0.03596964293625505,0.0010320160384689454,-0.06300792364501694,0.06766297196218467,0.011177660077201121,-0.033521851808628704,-0.003948781410293962,-0.0021390985738715383,-0.026716567421497524,0.04940755456914568
FCX,0.06003462873124357,-0.039878733560157247,0.09451665497634723,-0.032184886283815335,0.02153902440063762,0.03135534168846943,0.02845220117160001,0.0030363137412644688,-0.03551175367621573,0.020104710389406394
ADM,0.043668058148113725,0.05166461219799247,0.08225854287480792,-0.007988722664931293,0.031335980680013455,0.0499894045297557,0.011886372297907134,0.03773420913173639,-0.027755006020823498,-0.032974757776913825
LH,0.027708045633606248,0.026622504061305376,-0.01249667166135412,0.023504493684132592,-0.000801518786340179,0.0063626546357167055,-0.021187597011420756,-0.023457292654516067,0.013672656194623161,-0.016328743637505142
SOLV,0.03290192163152239,0.0028889683485603624,-0.0034817656288427695,0.013393615725638389,0.005121460768138682,0.028393552642676068,-0.06816913332332597,0.02298596920381842,0.024409287769990202,-0.013191966017122986
BLDR,0.06263159537689918,-0.03569977293735516,-0.005936573228480823,-0.00892703070300564,-0.05857805930844738,-0.01600251162596828,-0.06569230747281211,-0.10230060433917262,0.011742632965406414,0.02543998768379562
LNT,0.032224115371627636,0.1078078447457677,-0.044672434415299396,-0.05922312161137586,-0.002093961403347394,0.024724356128200817,0.03273484390951999,-0.06155363708580701,-0.016798598734517042,0.03477905386886618
BAC,0.05916184883035591,0.011766787212213463,0.04498797000288028,0.025897087143203844,-0.10220793230599862,-0.03867093152040097,0.10492848456995783,0.0906324120672814,-0.00498841039793836,0.02760647714906716
PSX,0.05318217568583828,0.001905811195966423,0.13452744899920266,-0.03698165604083536,0.057644507501391454,-0.021713073437609216,-0.02027988570201415,0.02077695002302129,-0.020075235373015306,0.028624113884152234
GPN,0.06460378318526706,0.004517924673248244,0.002513297830618946,0.022787766562283724,-0.011874727311972807,0.008426475329905357,0.024629168971232573,0.030881854565326983,0.026017986346847675,-0.01242463021416697
HUBB,0.05208378145655291,-0.037854782645805336,-0.011053790272657649,0.0019033720074974735,0.001503926178900508,-0.04109799172909635,-0.02477709968534982,-0.09911763916543449,-0.004621922829130004,0.002899352269093485
PPG,0.06608749559491336,0.00405648989665518,0.014296432960521714,0.023815253465568998,-0.006017816207155393,0.00026269309296067094,-0.037454544434963294,-0.038741149715266716,-0.040445616074330254,0.014140529185408642
TECH,0.04618242149371415,-0.010339054175471082,-0.005427916894200485,0.0041394531006941765,0.005748703748842224,0.03304481528291729,-0.07049096977878343,0.026115339619369057,-0.004302127118966248,-0.02878691446886613
IRM,0.047531332600145436,0.016330129055603798,-0.04875288552197904,-0.06396461170695798,-0.0582113770534983,-0.03770643628667224,-0.06027591938857854,0.04603636342725769,0.009723835584019234,-0.043759550435733215
IQV,0.05330463967856078,-0.00724649075486433,-0.010983747287793177,0.013126392867952653,-0.001774035120220848,0.002796463529018465,-0.02228465857331252,0.010548184230254332,0.00350367606033048,-0.020978477123014524
WBD,0.03634245261086569,0.003288083404527446,0.028566344062128397,-0.027894562924503496,-0.03403789968341313,0.09173858209333847,-0.0001336994494867204,-0.01018490413393461,0.08014493161210971,-0.08112728977151368
HAL,0.05732146822931012,-0.006519087425355566,0.15170918878177897,-0.04064963588531754,0.07183612559486427,-0.021805925646970783,-0.012158483450605205,0.043245788102502576,0.0023367993389224163,0.0038820790136982913
